episode,timestep,reward
32,200,-108.1187
64,400,-107.7625
94,600,-109.8067
127,800,-95.5212
160,1000,-105.4424
193,1200,-102.7424
221,1400,-107.7893
253,1600,-102.1062
282,1800,-105.1483
314,2000,-93.0156
346,2200,-93.5562
377,2400,-99.8032
408,2600,-90.7742
440,2800,-88.7469
471,3000,-86.9129
504,3200,-90.8152
536,3400,-86.6062
568,3600,-83.8125
600,3800,-84.8781
632,4000,-83.6812
664,4200,-82.3562
696,4400,-86.025
728,4600,-87.2969
760,4800,-85.8625
792,5000,-87.9625
824,5200,-82.7219
857,5400,-85.4394
889,5600,-85.1125
922,5800,-83.8
954,6000,-83.125
986,6200,-79.0875
1019,6400,-83.0636
1052,6600,-81.1545
1084,6800,-78.8187
1117,7000,-84.3606
1150,7200,-76.5364
1182,7400,-80.9437
1215,7600,-78.1303
1248,7800,-77.1152
1281,8000,-72.9061
1315,8200,-74.2176
1348,8400,-74.3788
1381,8600,-71.7909
1414,8800,-71.5909
1447,9000,-71.8212
1480,9200,-70.9485
1513,9400,-70.5727
1546,9600,-71.4515
1579,9800,-70.9667
1611,10000,-74.3187
1644,10200,-72.2212
1676,10400,-72.4437
1708,10600,-70.4937
1741,10800,-70.4515
1773,11000,-71.075
1805,11200,-70.1312
1836,11400,-74.2935
1869,11600,-71.5606
1901,11800,-72.1312
1932,12000,-70.0032
1964,12200,-72.7312
1996,12400,-71.3875
2028,12600,-72.9594
2060,12800,-72.025
2092,13000,-70.5062
2125,13200,-70.1303
2158,13400,-70.1
2190,13600,-70.0062
2222,13800,-70.4625
2252,14000,-69.9
2282,14200,-69.9
2312,14400,-69.8333
2343,14600,-74.8581
2373,14800,-70.52
2402,15000,-72.6862
2433,15200,-69.9065
2463,15400,-69.8333
2495,15600,-73.2094
2527,15800,-74.3344
2559,16000,-70.0687
2590,16200,-70.3645
2622,16400,-69.9437
2653,16600,-70.7129
2685,16800,-72.5219
2716,17000,-69.9387
2746,17200,-69.7333
2776,17400,-69.7333
2804,17600,-73.2107
2834,17800,-71.1133
2863,18000,-69.8931
2893,18200,-72.35
2924,18400,-69.9065
2955,18600,-69.7774
2986,18800,-71.2903
3014,19000,-69.4214
3043,19200,-69.8241
3073,19400,-69.9333
3103,19600,-70.6333
3130,19800,-70.2852
3160,20000,-71.8467
3189,20200,-72.7103
3220,20400,-70.1
3252,20600,-70.975
3283,20800,-70.0677
3314,21000,-69.771
3344,21200,-69.6333
3372,21400,-72.0071
3402,21600,-69.6933
3431,21800,-73.6
3461,22000,-70.0867
3488,22200,-70.6704
3514,22400,-81.1769
3541,22600,-70.9519
3566,22800,-82.252
3595,23000,-70.5897
3625,23200,-71.4467
3652,23400,-75.9074
3681,23600,-72.7552
3710,23800,-70.7897
3741,24000,-70.8742
3768,24200,-69.5889
3794,24400,-74.1885
3823,24600,-69.8448
3852,24800,-70.6517
3880,25000,-70.2679
3909,25200,-69.7483
3937,25400,-72.675
3966,25600,-69.8379
3995,25800,-72.0517
4022,26000,-75.9519
4052,26200,-69.7
4082,26400,-69.7667
4111,26600,-71.031
4141,26800,-69.8933
4170,27000,-69.6241
4198,27200,-72.5786
4228,27400,-74.67
4259,27600,-71.3581
4290,27800,-69.9516
4321,28000,-71.0677
4352,28200,-69.8097
4381,28400,-71.3897
4410,28600,-70.2517
4438,28800,-72.175
4466,29000,-72.375
4497,29200,-69.8097
4528,29400,-69.8742
4559,29600,-73.8742
4588,29800,-71.6931
4619,30000,-69.8226
4648,30200,-70.4241
4678,30400,-74.9833
4710,30600,-69.9437
4741,30800,-69.9065
4772,31000,-69.8226
4803,31200,-69.9065
4835,31400,-69.85
4865,31600,-69.7667
4893,31800,-69.9571
4923,32000,-70.0533
4954,32200,-69.8419
4984,32400,-70.89
5013,32600,-69.7828
5041,32800,-80.1679
5069,33000,-72.8893
5098,33200,-69.5138
5127,33400,-69.6172
5155,33600,-69.5286
5184,33800,-69.7138
5210,34000,-72.65
5240,34200,-69.7
5270,34400,-69.9267
5299,34600,-70.6483
5328,34800,-69.7
5357,35000,-74.7552
5387,35200,-71.88
5416,35400,-69.6103
5443,35600,-72.7556
5474,35800,-69.7387
5502,36000,-69.9429
5532,36200,-72.3333
5561,36400,-69.6655
5592,36600,-71.9194
5620,36800,-72.2321
5647,37000,-75.6481
5675,37200,-71.15
5705,37400,-78.4533
5734,37600,-70.1345
5762,37800,-69.6571
5790,38000,-69.8143
5818,38200,-69.55
5847,38400,-74.6517
5876,38600,-69.631
5905,38800,-70.7517
5935,39000,-69.5667
5965,39200,-69.5
5995,39400,-71.8333
6024,39600,-70.6828
6053,39800,-69.5138
6082,40000,-69.4586
6112,40200,-70.8567
6140,40400,-70.3929
6168,40600,-72.825
6197,40800,-72.4
6227,41000,-69.6
6256,41200,-70.6172
6284,41400,-69.5643
6312,41600,-76.0464
6341,41800,-69.6103
6369,42000,-69.3786
6399,42200,-69.7
6425,42400,-72.7962
6453,42600,-72.7107
6482,42800,-73.7172
6512,43000,-69.7333
6542,43200,-69.7333
6572,43400,-70.7767
6600,43600,-69.55
6629,43800,-70.7448
6658,44000,-74.9448
6687,44200,-69.7069
6716,44400,-71.869
6746,44600,-69.6933
6775,44800,-71.6483
6803,45000,-70.775
6831,45200,-70.6964
6860,45400,-70.6655
6889,45600,-69.7207
6920,45800,-71.1645
6948,46000,-71.9179
6975,46200,-71.2963
7003,46400,-72.3464
7032,46600,-69.4931
7062,46800,-72.23
7089,47000,-72.2444
7117,47200,-69.3357
7144,47400,-69.4852
7173,47600,-70.7034
7200,47800,-74.737
7228,48000,-69.5214
7256,48200,-69.3857
7284,48400,-69.5571
7311,48600,-76.3556
7340,48800,-70.7379
7368,49000,-69.4143
7395,49200,-69.4556
7422,49400,-74.8778
7451,49600,-69.7138
7481,49800,-71.68
7509,50000,-69.5714
7537,50200,-70.7464
7564,50400,-69.5148
7593,50600,-69.6172
7620,50800,-72.3778
7647,51000,-69.4111
7674,51200,-69.4926
7699,51400,-72.44
7725,51600,-69.3846
7752,51800,-69.4481
7777,52000,-71.976
7804,52200,-73.2556
7829,52400,-75.684
7854,52600,-75.836
7880,52800,-72.3192
7907,53000,-69.6481
7935,53200,-72.1179
7966,53400,-72.1806
7996,53600,-69.6667
8027,53800,-69.7774
8058,54000,-70.9806
8088,54200,-70.2267
8115,54400,-70.1222
8143,54600,-70.0571
8172,54800,-69.4793
8198,55000,-71.1385
8222,55200,-72.7875
8248,55400,-69.3462
8273,55600,-69.404
8298,55800,-72.856
8322,56000,-69.275
8347,56200,-72.936
8372,56400,-69.316
8396,56600,-72.5042
8423,56800,-69.4185
8448,57000,-69.204
8473,57200,-69.284
8499,57400,-72.8731
8526,57600,-72.8148
8553,57800,-69.3963
8582,58000,-70.731
8609,58200,-69.4481
8634,58400,-69.276
8660,58600,-77.0885
8688,58800,-70.6607
8715,59000,-72.4
8743,59200,-69.6286
8771,59400,-69.5071
8801,59600,-69.5
8829,59800,-69.5429
8859,60000,-69.6867
8887,60200,-70.6893
8914,60400,-69.537
8939,60600,-75.876
8968,60800,-69.631
8995,61000,-69.6481
9021,61200,-71.1731
9049,61400,-69.5071
9077,61600,-72.125
9106,61800,-70.5793
9137,62000,-73.0387
9166,62200,-69.5483
9193,62400,-69.4556
9219,62600,-72.2962
9248,62800,-69.4448
9275,63000,-72.0741
9304,63200,-69.6379
9332,63400,-70.0643
9360,63600,-69.3786
9387,63800,-69.4185
9413,64000,-69.3154
9438,64200,-69.532
9464,64400,-69.3923
9490,64600,-72.5154
9517,64800,-72.1704
9540,65000,-73.3826
9566,65200,-71.0731
9592,65400,-69.3154
9621,65600,-73.0345
9649,65800,-73.1821
9675,66000,-72.4538
9703,66200,-69.45
9728,66400,-71.98
9757,66600,-73.1034
9786,66800,-70.1621
9814,67000,-69.3714
9839,67200,-72.344
9866,67400,-71.0667
9892,67600,-69.3846
9917,67800,-69.308
9944,68000,-70.5519
9970,68200,-73.7731
9998,68400,-69.5214
10025,68600,-69.2704
10050,68800,-72.504
10077,69000,-70.0185
10106,69200,-70.6414
10132,69400,-69.2615
10160,69600,-69.95
10186,69800,-69.2846
10212,70000,-69.3154
10238,70200,-69.2154
10263,70400,-69.1
10291,70600,-69.5071
10319,70800,-69.9
10347,71000,-69.6143
10374,71200,-69.3519
10401,71400,-69.5222
10426,71600,-69.42
10450,71800,-73.0458
10476,72000,-69.4231
10501,72200,-69.212
10526,72400,-72.304
10550,72600,-69.3083
10575,72800,-73.488
10601,73000,-70.7577
10627,73200,-69.2846
10654,73400,-70.4963
10681,73600,-69.1741
10708,73800,-69.3519
10737,74000,-72.3483
10764,74200,-70.5296
10791,74400,-69.3519
10818,74600,-69.8778
10844,74800,-69.3
10870,75000,-69.3462
10898,75200,-69.4571
10926,75400,-69.45
10953,75600,-69.2852
10981,75800,-69.4857
11008,76000,-69.3444
11033,76200,-73.344
11059,76400,-69.4538
11086,76600,-69.3667
11112,76800,-69.4077
11139,77000,-69.2333
11166,77200,-69.1741
11192,77400,-73.8654
11218,77600,-71.1115
11244,77800,-69.3462
11271,78000,-69.2556
11299,78200,-69.2071
11325,78400,-69.3231
11351,78600,-72.2115
11379,78800,-69.2786
11407,79000,-70.6
11433,79200,-69.2538
11460,79400,-72.1704
11487,79600,-69.2481
11514,79800,-69.2704
11540,80000,-70.3923
11567,80200,-69.1963
11593,80400,-70.5808
11619,80600,-69.2692
11645,80800,-69.3
11671,81000,-69.4077
11696,81200,-69.164
11723,81400,-69.2037
11749,81600,-69.1692
11775,81800,-69.1615
11801,82000,-69.1385
