episode,timestep,reward
30,200,-184.48
62,400,-188.1125
92,600,-169.5467
123,800,-146.7742
154,1000,-132.871
183,1200,-129.4621
214,1400,-139.9226
242,1600,-118.6643
273,1800,-131.8903
305,2000,-132.2187
335,2200,-110.3667
366,2400,-123.6387
398,2600,-120.0125
429,2800,-119.2839
461,3000,-124.0812
492,3200,-108.8839
524,3400,-114.1375
554,3600,-104.9667
586,3800,-112.3437
615,4000,-101.8069
646,4200,-114.8129
676,4400,-117.7933
707,4600,-110.6516
739,4800,-102.8875
771,5000,-99.7937
802,5200,-100.1032
834,5400,-97.0125
866,5600,-96.2625
898,5800,-128.3875
931,6000,-114.9636
963,6200,-96.9
995,6400,-92.4875
1027,6600,-91.2062
1059,6800,-102.5125
1092,7000,-111.9576
1124,7200,-92.825
1156,7400,-92.95
1188,7600,-100.2937
1220,7800,-90.0437
1252,8000,-88.0562
1284,8200,-90.0
1315,8400,-101.7161
1346,8600,-88.3548
1377,8800,-88.2645
1409,9000,-98.2125
1440,9200,-87.5032
1471,9400,-99.1355
1503,9600,-88.7687
1534,9800,-99.4065
1564,10000,-88.8267
1596,10200,-85.7
1625,10400,-88.9724
1656,10600,-85.4903
1688,10800,-86.1187
1718,11000,-88.7
1748,11200,-85.2667
1778,11400,-98.24
1807,11600,-88.1655
1838,11800,-98.5613
1868,12000,-87.5067
1900,12200,-85.8562
1930,12400,-87.2
1960,12600,-85.7867
1990,12800,-85.5667
2019,13000,-85.7172
2047,13200,-85.4571
2075,13400,-86.5714
2104,13600,-97.7448
2133,13800,-86.3241
2161,14000,-85.5214
2192,14200,-87.5226
2222,14400,-84.8
2254,14600,-86.6687
2286,14800,-85.95
2317,15000,-85.2968
2347,15200,-88.3
2375,15400,-87.0571
2405,15600,-86.64
2435,15800,-86.06
2466,16000,-85.4323
2497,16200,-85.0065
2527,16400,-85.0
2557,16600,-84.8
2585,16800,-84.9214
2614,17000,-86.331
2643,17200,-85.1724
2672,17400,-84.5448
2700,17600,-85.2643
2726,17800,-84.4308
2754,18000,-87.1714
2781,18200,-85.4
2810,18400,-86.8552
2837,18600,-98.8
2865,18800,-85.4643
2893,19000,-84.4143
2920,19200,-85.3926
2947,19400,-84.9111
2973,19600,-86.4308
3002,19800,-84.4414
3030,20000,-84.8857
3060,20200,-84.6333
3087,20400,-84.3481
3115,20600,-84.6643
3142,20800,-84.4444
3170,21000,-85.2714
3198,21200,-85.0214
3224,21400,-85.3692
3251,21600,-85.1259
3278,21800,-84.4593
3304,22000,-84.3154
3330,22200,-84.2385
3357,22400,-84.637
3384,22600,-86.2741
3413,22800,-84.5103
3440,23000,-84.4222
3467,23200,-84.5556
3496,23400,-85.4483
3524,23600,-84.2714
3554,23800,-85.44
3583,24000,-84.6483
3612,24200,-85.5448
3641,24400,-84.6138
3671,24600,-84.9333
3700,24800,-84.7517
3730,25000,-84.7333
3757,25200,-84.4889
3783,25400,-132.6538
3811,25600,-85.6571
3840,25800,-85.1517
3867,26000,-86.2741
3894,26200,-84.8222
3924,26400,-111.6333
3953,26600,-85.4414
3982,26800,-86.269
4010,27000,-84.7357
4038,27200,-84.8071
4065,27400,-86.0741
4094,27600,-85.3379
4121,27800,-85.6593
4148,28000,-87.3333
4176,28200,-84.5857
4203,28400,-85.1259
4229,28600,-85.1769
4258,28800,-85.5793
4287,29000,-85.0276
4315,29200,-85.0571
4345,29400,-96.2667
4375,29600,-85.2267
4404,29800,-88.0483
4434,30000,-85.6133
4461,30200,-86.4593
4489,30400,-85.6286
4515,30600,-85.1769
4542,30800,-85.6
4569,31000,-84.4963
4595,31200,-85.5231
4622,31400,-85.2519
4649,31600,-84.5259
4675,31800,-84.8231
4701,32000,-85.8
4729,32200,-85.2857
4755,32400,-85.5538
4779,32600,-84.55
4804,32800,-100.088
4831,33000,-85.1185
4858,33200,-98.6074
4888,33400,-85.7333
4920,33600,-97.6062
4949,33800,-85.4069
4978,34000,-85.3379
5008,34200,-85.4
5038,34400,-84.5333
5067,34600,-84.6828
5097,34800,-84.6933
5126,35000,-84.6414
5154,35200,-84.3071
5183,35400,-84.4414
5211,35600,-86.9214
5239,35800,-85.6143
5268,36000,-97.6966
5294,36200,-84.9231
5320,36400,-85.2154
5347,36600,-84.5185
5374,36800,-84.5926
5402,37000,-85.4929
5429,37200,-84.237
5456,37400,-84.3111
5483,37600,-84.8741
5510,37800,-85.1259
5535,38000,-84.504
5561,38200,-84.4923
5585,38400,-84.4
5609,38600,-84.4583
5631,38800,-85.0909
5655,39000,-84.65
5679,39200,-84.9583
5702,39400,-85.0087
5725,39600,-85.1304
5750,39800,-84.32
5775,40000,-84.344
5800,40200,-85.152
5826,40400,-84.9692
5851,40600,-85.64
5877,40800,-84.2769
5901,41000,-84.375
5926,41200,-116.688
5951,41400,-100.152
5978,41600,-84.3778
6004,41800,-119.9923
6031,42000,-89.7778
6058,42200,-90.9185
6085,42400,-85.837
6111,42600,-85.2538
6137,42800,-84.8462
6163,43000,-84.2769
6190,43200,-84.6296
6216,43400,-84.4308
6242,43600,-84.5154
6268,43800,-85.0692
6294,44000,-84.5077
6319,44200,-84.992
6344,44400,-87.08
6368,44600,-84.975
6396,44800,-84.5786
6422,45000,-84.5923
6448,45200,-84.9692
6474,45400,-84.3154
6499,45600,-84.6
6525,45800,-84.3385
6550,46000,-84.88
6576,46200,-85.2154
6602,46400,-84.9692
6626,46600,-84.95
6650,46800,-84.8417
6674,47000,-131.4
6700,47200,-85.2
6726,47400,-85.0769
6753,47600,-85.1111
6779,47800,-84.7769
6807,48000,-84.5929
6833,48200,-84.6385
6861,48400,-84.7
6889,48600,-84.3429
6916,48800,-84.6
6944,49000,-84.5143
6972,49200,-84.3786
6999,49400,-84.3111
7025,49600,-84.3538
7050,49800,-84.656
7077,50000,-84.6815
7105,50200,-84.6929
7132,50400,-84.9778
7160,50600,-84.6714
7187,50800,-84.3481
7214,51000,-84.4963
7241,51200,-84.9407
7268,51400,-84.763
7293,51600,-84.952
7320,51800,-84.4963
7347,52000,-84.4593
7372,52200,-84.28
7398,52400,-84.2
7424,52600,-96.8
7452,52800,-86.3429
7479,53000,-86.4222
7505,53200,-86.5
7531,53400,-84.6923
7558,53600,-84.4889
7584,53800,-84.5385
7611,54000,-85.163
7637,54200,-84.3538
7663,54400,-84.8923
7690,54600,-84.2
7717,54800,-84.2741
7743,55000,-84.3923
7770,55200,-84.9407
7796,55400,-98.8154
7825,55600,-84.931
7853,55800,-84.45
7880,56000,-86.7481
7907,56200,-84.9037
7937,56400,-87.8
7965,56600,-88.2357
7993,56800,-85.3429
8021,57000,-85.4214
8049,57200,-84.4786
8076,57400,-85.6074
8102,57600,-85.9385
8128,57800,-84.5308
8154,58000,-84.4923
8180,58200,-85.6923
8207,58400,-85.1185
8234,58600,-85.5333
8261,58800,-87.2222
8287,59000,-86.7308
8314,59200,-84.8741
8341,59400,-86.7556
8368,59600,-84.8963
8395,59800,-84.5704
8423,60000,-84.3429
8450,60200,-85.5333
8480,60400,-95.4667
8508,60600,-84.5786
8537,60800,-84.4414
8564,61000,-85.1926
8593,61200,-84.5448
8621,61400,-84.3071
8648,61600,-90.4296
8676,61800,-89.9214
8705,62000,-85.4828
8733,62200,-84.85
8763,62400,-86.3333
8790,62600,-87.2889
8817,62800,-84.3704
8845,63000,-88.1786
8873,63200,-85.6071
8901,63400,-87.6286
8928,63600,-86.3778
8956,63800,-86.8357
8985,64000,-85.6138
9014,64200,-84.8552
9042,64400,-84.5214
9071,64600,-87.6138
9100,64800,-85.1172
9128,65000,-106.2786
9156,65200,-93.5357
9184,65400,-103.7286
9214,65600,-100.92
9242,65800,-88.2071
9271,66000,-99.0552
9300,66200,-87.2276
9329,66400,-87.1034
9360,66600,-84.6839
9388,66800,-84.3786
9417,67000,-85.7241
9445,67200,-84.2357
9473,67400,-84.7357
9502,67600,-99.5793
9530,67800,-113.0643
9556,68000,-84.4462
9584,68200,-101.7571
9612,68400,-88.2571
9640,68600,-84.2714
9668,68800,-85.5714
9696,69000,-85.2143
9723,69200,-85.637
9750,69400,-84.5037
9778,69600,-84.2714
9805,69800,-85.1407
9833,70000,-84.3357
9861,70200,-87.9857
9890,70400,-85.0345
9918,70600,-98.2786
9945,70800,-84.5556
9973,71000,-84.4786
10000,71200,-84.4074
10026,71400,-84.3462
10054,71600,-84.7643
10080,71800,-84.2
10106,72000,-84.5308
10133,72200,-84.4815
10161,72400,-85.8214
10189,72600,-84.3071
10215,72800,-84.8231
10241,73000,-85.5846
10268,73200,-84.2
10294,73400,-85.4385
10320,73600,-84.7077
10345,73800,-86.024
10372,74000,-84.8963
10397,74200,-85.36
10422,74400,-85.096
10450,74600,-85.75
10477,74800,-84.2741
10503,75000,-84.9231
10530,75200,-97.7556
10558,75400,-85.1143
10585,75600,-93.8741
10611,75800,-89.6077
10639,76000,-89.2357
10666,76200,-85.1778
10694,76400,-84.3429
10721,76600,-84.3407
10747,76800,-85.6462
10774,77000,-84.237
10801,77200,-84.2
10828,77400,-84.2741
10854,77600,-84.3077
10881,77800,-86.5259
10907,78000,-84.5615
10934,78200,-84.6889
10960,78400,-85.4692
10987,78600,-86.1185
11013,78800,-84.8154
11041,79000,-85.1214
11068,79200,-84.237
11094,79400,-85.5077
11120,79600,-84.9
11146,79800,-84.5154
11173,80000,-89.0148
11199,80200,-86.1308
11227,80400,-84.2357
11254,80600,-85.6296
11281,80800,-84.237
11307,81000,-90.9923
11333,81200,-88.7385
11359,81400,-84.8769
11386,81600,-84.5926
11414,81800,-85.0357
11441,82000,-85.5111
11468,82200,-85.5333
11496,82400,-84.4143
11523,82600,-90.5852
11550,82800,-91.5037
11578,83000,-86.45
11606,83200,-86.5714
11633,83400,-84.4519
11661,83600,-85.5929
11688,83800,-84.3852
11714,84000,-85.5462
11740,84200,-84.7077
11767,84400,-84.4148
11794,84600,-84.9556
11821,84800,-84.3407
11848,85000,-85.5259
11876,85200,-87.6
11904,85400,-85.0929
11931,85600,-84.3778
11959,85800,-84.4143
11987,86000,-85.4714
12015,86200,-84.5214
12044,86400,-85.6966
12071,86600,-85.2889
12099,86800,-86.4429
12127,87000,-85.05
12155,87200,-88.0643
12184,87400,-85.9586
12210,87600,-86.7231
12239,87800,-84.5655
12266,88000,-84.3111
12295,88200,-84.9655
12323,88400,-84.3429
12350,88600,-84.3111
12377,88800,-85.4074
12403,89000,-86.8462
12430,89200,-84.7852
12457,89400,-130.0222
12486,89600,-101.8966
12516,89800,-89.9133
12545,90000,-99.7862
12575,90200,-97.3133
12603,90400,-84.7214
12631,90600,-98.8714
12661,90800,-85.32
12690,91000,-85.5172
12718,91200,-85.4786
12747,91400,-85.0207
12775,91600,-85.4214
12803,91800,-84.9786
12830,92000,-84.8667
12858,92200,-84.5857
12886,92400,-98.2357
12914,92600,-84.65
12944,92800,-94.0
12972,93000,-86.65
13000,93200,-98.55
13028,93400,-84.8786
13056,93600,-84.4429
13082,93800,-84.2615
13111,94000,-88.1655
13138,94200,-86.7556
13165,94400,-85.1778
13192,94600,-84.2741
13219,94800,-84.5556
13247,95000,-85.7286
13275,95200,-84.4714
13303,95400,-84.95
13331,95600,-84.5143
13359,95800,-84.8143
13386,96000,-84.8667
13414,96200,-84.3071
13441,96400,-84.237
13468,96600,-86.0519
13495,96800,-84.7926
13520,97000,-85.368
13548,97200,-84.3071
13574,97400,-84.3385
13601,97600,-84.3037
13628,97800,-85.4963
13655,98000,-84.2741
13682,98200,-84.237
13710,98400,-84.2571
13737,98600,-84.6889
13764,98800,-84.3333
13791,99000,-84.3407
13817,99200,-86.2077
13844,99400,-84.2
13870,99600,-84.4538
13896,99800,-84.5538
13923,100000,-84.763
