episode,timestep,reward
36,200,-109.875
67,400,-97.1806
100,600,-101.7212
131,800,-97.1742
161,1000,-101.05
191,1200,-95.21
226,1400,-103.3657
258,1600,-100.4969
290,1800,-92.6375
321,2000,-91.7613
353,2200,-97.2219
386,2400,-92.8303
418,2600,-91.5625
450,2800,-89.5937
483,3000,-89.8636
516,3200,-93.0273
549,3400,-85.6606
582,3600,-85.3939
615,3800,-87.4636
648,4000,-82.2
681,4200,-86.0636
713,4400,-85.4937
747,4600,-87.5147
780,4800,-77.8121
813,5000,-81.0424
846,5200,-80.6182
879,5400,-78.2182
912,5600,-77.2091
945,5800,-74.6758
978,6000,-77.5788
1011,6200,-74.5121
1044,6400,-74.797
1077,6600,-73.2879
1110,6800,-74.0091
1143,7000,-71.6091
1176,7200,-71.8758
1209,7400,-74.9545
1243,7600,-73.4
1276,7800,-71.2394
1309,8000,-71.0758
1342,8200,-74.5576
1376,8400,-72.7324
1409,8600,-70.8758
1442,8800,-71.2394
1475,9000,-76.3333
1508,9200,-71.0455
1541,9400,-70.9848
1575,9600,-70.3941
1607,9800,-70.6312
1640,10000,-71.9242
1674,10200,-70.7176
1707,10400,-73.7697
1739,10600,-70.3812
1772,10800,-72.1909
1805,11000,-70.9485
1838,11200,-70.403
1870,11400,-72.6937
1903,11600,-73.0273
1935,11800,-70.7125
1968,12000,-72.3121
2001,12200,-70.5727
2034,12400,-70.7667
2066,12600,-70.65
2099,12800,-70.0394
2131,13000,-70.9125
2163,13200,-70.0375
2196,13400,-70.797
2228,13600,-72.7875
2259,13800,-69.971
2289,14000,-74.0333
2319,14200,-74.7467
2347,14400,-73.6
2377,14600,-69.8067
2407,14800,-70.18
2432,15000,-74.748
2462,15200,-70.9767
2492,15400,-70.9633
2521,15600,-76.1069
2549,15800,-76.4179
2579,16000,-76.9467
2611,16200,-71.0969
2643,16400,-72.4531
2675,16600,-71.3031
2706,16800,-69.9065
2738,17000,-70.0687
2770,17200,-71.5375
2801,17400,-69.9387
2832,17600,-69.8742
2863,17800,-69.8742
2892,18000,-70.8586
2920,18200,-75.55
2951,18400,-72.2452
2981,18600,-69.8
3011,18800,-69.8
3043,19000,-73.5469
3073,19200,-70.3533
3102,19400,-69.7207
3130,19600,-75.0964
3161,19800,-72.4323
3193,20000,-69.8812
3223,20200,-70.3
3253,20400,-71.35
3286,20600,-72.4455
3316,20800,-69.8933
3347,21000,-70.8742
3376,21200,-72.1862
3406,21400,-72.7433
3437,21600,-71.8419
3468,21800,-72.4387
3498,22000,-70.62
3530,22200,-69.8812
3562,22400,-69.975
3593,22600,-70.1
3622,22800,-69.7
3654,23000,-70.475
3684,23200,-69.88
3714,23400,-69.8133
3742,23600,-69.6714
3768,23800,-82.6615
3796,24000,-71.75
3825,24200,-73.5483
3854,24400,-69.5759
3883,24600,-70.0862
3910,24800,-72.563
3939,25000,-72.6379
3967,25200,-69.5143
3996,25400,-74.7414
4025,25600,-69.8931
4057,25800,-72.3156
4087,26000,-69.98
4117,26200,-69.6667
4146,26400,-69.6448
4176,26600,-72.8833
4206,26800,-71.1233
4234,27000,-70.3429
4263,27200,-69.7207
4294,27400,-70.2613
4323,27600,-69.7828
4352,27800,-69.7897
4381,28000,-69.7483
4411,28200,-70.7633
4440,28400,-71.8241
4469,28600,-69.5483
4497,28800,-72.2964
4527,29000,-71.2167
4556,29200,-69.7207
4584,29400,-70.7036
4612,29600,-70.7786
4641,29800,-72.6069
4671,30000,-69.9933
4701,30200,-69.86
4731,30400,-69.78
4761,30600,-69.7
4791,30800,-69.8933
4820,31000,-70.0103
4849,31200,-69.6517
4876,31400,-69.6407
4902,31600,-72.8808
4930,31800,-69.6
4957,32000,-72.8222
4987,32200,-69.9
5015,32400,-69.6214
5043,32600,-73.6393
5068,32800,-76.716
5096,33000,-69.5786
5125,33200,-76.4793
5154,33400,-69.6172
