episode,timestep,reward
31,200,-201.1387
60,400,-106.6862
89,600,-179.5759
121,800,-160.0687
151,1000,-131.9367
184,1200,-149.9818
214,1400,-123.7533
244,1600,-124.0467
274,1800,-112.9967
305,2000,-109.6484
337,2200,-120.85
368,2400,-109.0968
399,2600,-107.8129
431,2800,-104.8156
462,3000,-122.7581
493,3200,-109.7871
523,3400,-110.29
555,3600,-131.6406
587,3800,-97.6937
619,4000,-102.2219
651,4200,-99.3375
683,4400,-95.1062
714,4600,-94.9903
746,4800,-118.95
776,5000,-96.0867
808,5200,-115.7562
840,5400,-103.7469
872,5600,-104.7219
905,5800,-96.5758
936,6000,-116.629
968,6200,-92.8375
999,6400,-115.6484
1031,6600,-100.2344
1063,6800,-105.6781
1094,7000,-114.729
1127,7200,-99.3515
1158,7400,-103.9226
1189,7600,-98.9839
1220,7800,-111.9903
1251,8000,-94.9452
1283,8200,-95.2969
1314,8400,-113.2484
1345,8600,-95.6355
1377,8800,-101.9719
1409,9000,-89.4531
1441,9200,-94.8781
1472,9400,-92.7129
1504,9600,-88.275
1536,9800,-97.3062
1568,10000,-108.1625
1600,10200,-89.4062
1632,10400,-84.0125
1665,10600,-118.8242
1697,10800,-97.1594
1729,11000,-96.4437
1761,11200,-99.5844
1793,11400,-98.2781
1824,11600,-83.6419
1856,11800,-94.5656
1886,12000,-95.0567
1917,12200,-79.8742
1948,12400,-94.8323
1980,12600,-106.0844
2011,12800,-96.729
2042,13000,-95.171
2073,13200,-87.2871
2105,13400,-100.8219
2136,13600,-83.2484
2168,13800,-93.9187
2200,14000,-90.1281
2231,14200,-81.2419
2262,14400,-80.5
2292,14600,-82.0533
2323,14800,-74.771
2354,15000,-75.6871
2384,15200,-86.7067
2413,15400,-117.469
2444,15600,-113.5581
2475,15800,-87.7258
2507,16000,-73.45
2540,16200,-86.1091
2572,16400,-72.8125
2604,16600,-71.725
2637,16800,-74.5
2669,17000,-86.5125
2701,17200,-74.1062
2732,17400,-75.2355
2762,17600,-73.3
2794,17800,-71.4625
2826,18000,-72.7375
2857,18200,-71.7065
2888,18400,-70.9387
2919,18600,-72.3065
2950,18800,-70.8548
2980,19000,-71.5733
3011,19200,-71.5839
3041,19400,-71.3067
3071,19600,-71.0333
3102,19800,-70.1
3131,20000,-71.3207
3162,20200,-83.2645
3189,20400,-70.1296
3217,20600,-70.9071
3243,20800,-86.4731
3270,21000,-100.8185
3298,21200,-71.9786
3327,21400,-70.8034
3357,21600,-84.2933
3386,21800,-71.8034
3414,22000,-70.3643
3442,22200,-85.2714
3472,22400,-72.96
3502,22600,-82.6667
3532,22800,-72.0867
3563,23000,-71.7129
3593,23200,-72.6533
3623,23400,-71.9267
3655,23600,-71.1
3685,23800,-70.1333
3717,24000,-70.475
3746,24200,-71.8241
3775,24400,-69.5966
3803,24600,-70.2929
3830,24800,-72.0852
3855,25000,-85.096
3882,25200,-71.2481
3907,25400,-70.716
