episode,timestep,reward
25,200,-123.16
51,400,-124.3077
78,600,-133.7037
104,800,-115.9615
129,1000,-136.84
155,1200,-122.6923
180,1400,-115.92
204,1600,-119.125
229,1800,-125.12
255,2000,-113.3846
280,2200,-101.04
305,2400,-99.0
329,2600,-110.8333
355,2800,-106.7308
380,3000,-102.44
405,3200,-91.96
432,3400,-91.7778
458,3600,-104.9615
484,3800,-106.9615
510,4000,-98.0385
536,4200,-93.1154
563,4400,-110.4444
589,4600,-93.6538
616,4800,-107.037
642,5000,-85.2308
669,5200,-100.3704
695,5400,-100.3846
722,5600,-89.8148
749,5800,-86.037
775,6000,-86.1154
802,6200,-90.9259
829,6400,-77.4074
856,6600,-86.8519
884,6800,-85.1071
911,7000,-79.9259
939,7200,-96.4643
966,7400,-75.4074
994,7600,-79.1071
1022,7800,-78.9643
1050,8000,-74.9286
1079,8200,-75.8276
1107,8400,-71.3571
1136,8600,-80.6207
1165,8800,-76.4138
1193,9000,-76.3571
1221,9200,-70.6071
1249,9400,-73.3571
1277,9600,-78.6071
1305,9800,-68.8571
1333,10000,-69.3571
1361,10200,-76.7143
1389,10400,-74.8929
1417,10600,-71.3571
1445,10800,-73.75
1473,11000,-73.75
1502,11200,-72.6897
1529,11400,-74.037
1557,11600,-67.1786
1586,11800,-81.2759
1613,12000,-72.7778
1641,12200,-65.0
1669,12400,-72.2143
1696,12600,-68.4444
1722,12800,-69.8462
1749,13000,-73.4815
1777,13200,-70.2857
1804,13400,-70.5185
1832,13600,-65.2857
1859,13800,-70.5926
1886,14000,-79.037
1914,14200,-63.7143
1941,14400,-78.963
1969,14600,-77.2857
1996,14800,-73.037
2022,15000,-72.0
2049,15200,-64.4444
2075,15400,-65.8077
2103,15600,-77.9286
2128,15800,-70.88
2155,16000,-70.7778
2182,16200,-63.1111
2208,16400,-64.9231
2236,16600,-62.1786
2263,16800,-61.963
2290,17000,-60.3704
2317,17200,-67.4815
2345,17400,-67.4643
2373,17600,-61.3929
2401,17800,-60.8571
2429,18000,-61.0714
2456,18200,-61.5185
2483,18400,-63.4815
2510,18600,-61.8519
2537,18800,-60.5926
2564,19000,-61.3704
2592,19200,-60.7857
2619,19400,-63.2963
2646,19600,-62.2222
2673,19800,-60.8519
2699,20000,-69.1154
2725,20200,-62.0385
2753,20400,-61.2143
2779,20600,-60.0
2801,20800,-64.9091
2826,21000,-78.04
2850,21200,-72.2917
2875,21400,-77.48
2900,21600,-62.36
2925,21800,-62.16
2949,22000,-60.7917
2973,22200,-65.875
2998,22400,-61.0
3023,22600,-60.44
3047,22800,-60.875
3073,23000,-59.8462
3098,23200,-59.6
3123,23400,-60.52
3147,23600,-59.9583
3171,23800,-62.875
3196,24000,-61.28
3219,24200,-60.9565
3245,24400,-81.8077
3270,24600,-61.48
3296,24800,-60.2692
3322,25000,-73.7308
3347,25200,-60.72
3372,25400,-60.24
3397,25600,-60.24
3422,25800,-59.84
3448,26000,-61.0769
3472,26200,-61.0417
3497,26400,-61.16
3520,26600,-61.8261
3544,26800,-68.0
3567,27000,-60.913
3591,27200,-74.9583
3613,27400,-61.5
3634,27600,-62.0476
3656,27800,-61.0
3679,28000,-67.1304
3702,28200,-67.7391
3724,28400,-60.0
3746,28600,-111.2727
3768,28800,-99.4545
3791,29000,-87.8261
3813,29200,-62.5455
3836,29400,-61.3043
3857,29600,-73.9524
3881,29800,-61.1667
3903,30000,-70.3636
3927,30200,-73.25
3949,30400,-70.6364
3972,30600,-62.2609
3995,30800,-71.4783
4017,31000,-61.3182
4038,31200,-63.7143
4060,31400,-70.0909
4081,31600,-61.8571
4102,31800,-61.7143
4123,32000,-70.2381
4143,32200,-69.75
4165,32400,-63.3636
4185,32600,-71.25
4208,32800,-64.5217
4230,33000,-73.6818
4251,33200,-79.7143
4272,33400,-70.3333
4294,33600,-78.4091
4317,33800,-59.8261
4341,34000,-86.2083
4366,34200,-76.36
4389,34400,-86.0
4413,34600,-64.0
4439,34800,-67.3846
4463,35000,-60.625
4491,35200,-90.7143
4516,35400,-75.92
4543,35600,-74.4444
4570,35800,-61.4444
4597,36000,-73.1111
4623,36200,-60.5
4647,36400,-62.7083
4673,36600,-59.8462
4699,36800,-60.0
4725,37000,-73.1923
4749,37200,-59.6667
4772,37400,-60.3043
4796,37600,-62.1667
4819,37800,-62.9565
4843,38000,-60.2917
4867,38200,-71.125
4890,38400,-60.6957
4913,38600,-62.6522
4936,38800,-61.3913
4959,39000,-60.8261
4984,39200,-60.28
5009,39400,-67.36
5032,39600,-59.6522
5054,39800,-72.2273
5079,40000,-67.92
