episode,timestep,reward
26,200,-126.8462
53,400,-127.7407
80,600,-146.3704
106,800,-122.8077
131,1000,-113.96
157,1200,-114.8462
183,1400,-117.5
207,1600,-117.4583
233,1800,-121.0
260,2000,-133.1111
286,2200,-121.0385
312,2400,-114.9615
337,2600,-118.52
363,2800,-123.4615
388,3000,-112.24
413,3200,-113.24
437,3400,-110.3333
462,3600,-111.52
488,3800,-104.6538
515,4000,-111.6667
542,4200,-113.4815
567,4400,-101.64
594,4600,-140.5556
621,4800,-100.5556
647,5000,-101.3846
673,5200,-114.5769
700,5400,-106.4815
726,5600,-102.8462
752,5800,-108.7308
778,6000,-103.5
803,6200,-117.0
829,6400,-105.7692
855,6600,-114.5385
881,6800,-111.4231
907,7000,-96.6154
933,7200,-105.4231
959,7400,-89.5385
985,7600,-107.7692
1012,7800,-106.1852
1039,8000,-96.9259
1065,8200,-96.3846
1091,8400,-104.4231
1117,8600,-95.4615
1143,8800,-96.1923
1168,9000,-95.84
1194,9200,-98.3846
1220,9400,-112.5385
1246,9600,-105.2692
1272,9800,-115.8077
1298,10000,-94.0
1324,10200,-110.7308
1350,10400,-88.2692
1376,10600,-86.5385
1402,10800,-97.8846
1428,11000,-100.2308
1453,11200,-99.24
1481,11400,-101.3214
1507,11600,-96.2308
1533,11800,-89.1154
1558,12000,-110.68
1584,12200,-88.5769
1610,12400,-101.2692
1637,12600,-88.0
1663,12800,-88.6538
1689,13000,-90.1538
1716,13200,-100.4444
1742,13400,-92.6923
1769,13600,-92.1111
1795,13800,-82.7692
1821,14000,-90.7308
1847,14200,-84.7692
1873,14400,-81.4615
1900,14600,-94.0741
1927,14800,-87.963
1954,15000,-100.5926
1980,15200,-107.8846
2007,15400,-93.037
2034,15600,-90.8889
2062,15800,-101.6071
2089,16000,-98.1481
2116,16200,-81.7407
2143,16400,-82.3704
2171,16600,-82.1071
2198,16800,-96.2593
2224,17000,-84.8462
2251,17200,-76.8519
2279,17400,-87.5357
2307,17600,-75.6071
2335,17800,-88.0714
2363,18000,-84.8214
2391,18200,-84.25
2418,18400,-75.1481
2447,18600,-84.4483
2475,18800,-76.8214
2503,19000,-73.0714
2530,19200,-82.3333
2557,19400,-74.8148
2584,19600,-78.4444
2612,19800,-80.3214
2640,20000,-72.8571
2668,20200,-81.5
2697,20400,-88.3103
2724,20600,-74.5185
2753,20800,-84.6207
2780,21000,-71.5926
2809,21200,-76.9655
2836,21400,-73.7037
2864,21600,-71.1786
2892,21800,-69.3571
2920,22000,-69.7143
2950,22200,-87.6333
2979,22400,-80.6207
3007,22600,-77.7857
3035,22800,-76.0714
3064,23000,-70.069
3092,23200,-69.5714
3120,23400,-69.4286
3148,23600,-69.8214
3176,23800,-76.8571
3205,24000,-67.6552
3234,24200,-72.069
3262,24400,-68.2857
3290,24600,-69.5
3319,24800,-67.4138
3347,25000,-67.1429
3375,25200,-72.25
3404,25400,-67.069
3433,25600,-71.6207
3461,25800,-66.3571
3490,26000,-67.6207
3518,26200,-65.6786
3546,26400,-64.2857
3575,26600,-73.0
3604,26800,-63.4483
3632,27000,-66.8929
3660,27200,-64.8571
3689,27400,-72.2759
3717,27600,-65.8929
3746,27800,-66.931
3774,28000,-66.6429
3803,28200,-64.6207
3831,28400,-72.3571
3860,28600,-65.7586
3888,28800,-66.3214
3917,29000,-63.5172
3946,29200,-72.0
3974,29400,-63.4643
4003,29600,-64.3448
4031,29800,-64.4286
4060,30000,-63.1724
4089,30200,-64.069
4117,30400,-64.6071
4146,30600,-66.8621
4174,30800,-63.8571
4203,31000,-63.1724
4231,31200,-64.4643
4260,31400,-65.2759
4288,31600,-63.7857
4317,31800,-63.6207
4346,32000,-64.2069
4374,32200,-62.4286
4403,32400,-63.1034
4431,32600,-63.3571
4460,32800,-62.6207
4488,33000,-61.0
4517,33200,-62.1034
4545,33400,-63.7857
4574,33600,-62.4483
4603,33800,-62.1034
4631,34000,-65.6071
4660,34200,-61.2069
4688,34400,-67.1429
4717,34600,-65.2414
4746,34800,-60.8276
4774,35000,-64.3214
4803,35200,-61.5862
4831,35400,-61.5714
4860,35600,-61.6207
4889,35800,-68.1034
4917,36000,-61.3571
4946,36200,-61.6207
4974,36400,-61.6786
5003,36600,-61.2414
5031,36800,-60.7857
5060,37000,-60.7931
5089,37200,-60.7931
5117,37400,-60.8214
5146,37600,-61.1724
5174,37800,-60.8571
5203,38000,-61.5172
5231,38200,-61.25
5260,38400,-62.1379
5289,38600,-62.5172
5317,38800,-62.1786
5346,39000,-60.8276
5374,39200,-60.4643
5403,39400,-64.931
5431,39600,-67.2857
5460,39800,-62.931
5488,40000,-62.75
5517,40200,-62.4828
5545,40400,-63.1429
5574,40600,-60.7586
5603,40800,-62.0
5631,41000,-61.6429
5660,41200,-61.069
5688,41400,-60.7857
5717,41600,-61.5517
5745,41800,-62.5
5774,42000,-61.2414
5802,42200,-60.3929
5831,42400,-60.3793
5859,42600,-61.3929
5888,42800,-61.5172
5916,43000,-60.3929
5945,43200,-60.931
5973,43400,-62.0
6002,43600,-61.4483
6031,43800,-61.5172
6059,44000,-61.6071
6088,44200,-61.1724
6116,44400,-61.9286
6145,44600,-60.7586
6173,44800,-61.2143
6202,45000,-60.0
6230,45200,-60.8571
6259,45400,-60.7931
6288,45600,-60.4138
6316,45800,-60.0
6345,46000,-61.1724
6373,46200,-60.0
6402,46400,-60.4138
6430,46600,-62.6786
6459,46800,-63.6897
6487,47000,-62.8929
6516,47200,-62.4483
6545,47400,-60.3793
6573,47600,-61.1786
6602,47800,-60.0
6630,48000,-60.8214
6659,48200,-62.1034
6687,48400,-60.3929
6716,48600,-62.6207
6745,48800,-61.2414
6773,49000,-60.4286
6802,49200,-60.0
6830,49400,-61.2857
6859,49600,-60.7931
6887,49800,-60.0
6916,50000,-60.4138
6945,50200,-60.4138
6973,50400,-60.0
7002,50600,-61.7241
7030,50800,-63.5714
7059,51000,-68.1724
7088,51200,-61.6897
7117,51400,-70.4138
7145,51600,-62.3571
7174,51800,-61.6897
7202,52000,-61.3214
7231,52200,-62.2759
7259,52400,-60.8214
7288,52600,-61.2759
7316,52800,-64.4286
7345,53000,-60.4483
7373,53200,-60.75
7402,53400,-61.1724
7431,53600,-66.069
7459,53800,-60.3929
7488,54000,-61.2414
7517,54200,-60.0
7545,54400,-60.0
7574,54600,-60.0
7602,54800,-60.3929
7631,55000,-60.4138
7659,55200,-60.4643
7688,55400,-60.0
7717,55600,-60.0
7745,55800,-63.5714
7774,56000,-60.8276
7802,56200,-62.4643
7831,56400,-61.2759
7859,56600,-60.8929
7888,56800,-61.2759
7917,57000,-62.1379
7945,57200,-62.2143
7974,57400,-61.3793
8002,57600,-61.3571
8031,57800,-61.3103
8059,58000,-60.8929
8088,58200,-60.8621
8117,58400,-61.6897
8145,58600,-60.0
8174,58800,-60.8276
8202,59000,-60.8571
8231,59200,-62.931
8259,59400,-61.7143
8288,59600,-62.5862
8317,59800,-60.8621
8345,60000,-62.2143
8374,60200,-62.2759
8402,60400,-60.4286
8431,60600,-60.4138
8459,60800,-61.75
8488,61000,-60.0
8517,61200,-60.8276
8545,61400,-61.2857
8574,61600,-61.2414
8602,61800,-60.4286
8631,62000,-60.4138
8659,62200,-61.3571
8688,62400,-61.8276
8717,62600,-60.8276
8745,62800,-60.8571
8774,63000,-64.0345
8802,63200,-62.2857
8831,63400,-63.6207
8859,63600,-60.4643
8888,63800,-61.1034
8916,64000,-63.7143
8945,64200,-67.1724
8973,64400,-60.4643
9002,64600,-61.3793
9031,64800,-62.0345
9059,65000,-60.0
9088,65200,-60.4138
9116,65400,-60.4286
9145,65600,-60.8276
9173,65800,-60.9643
9202,66000,-60.0
9230,66200,-61.2857
9259,66400,-60.8966
9288,66600,-61.7241
9316,66800,-60.8571
9345,67000,-60.8276
9373,67200,-60.8571
9402,67400,-60.7241
9430,67600,-60.4286
9459,67800,-60.0
9488,68000,-60.4138
9516,68200,-60.8571
9545,68400,-60.4138
9573,68600,-60.8571
9602,68800,-61.2759
9630,69000,-60.0
9659,69200,-60.4138
9688,69400,-60.8276
9716,69600,-61.1786
9745,69800,-60.4138
9773,70000,-60.4286
9802,70200,-60.0
9830,70400,-60.0
9859,70600,-60.4138
9888,70800,-60.0
9916,71000,-60.8214
9945,71200,-60.0
9973,71400,-60.0
10002,71600,-60.0
10030,71800,-60.0
10059,72000,-60.0
10087,72200,-60.4643
10116,72400,-60.3793
10145,72600,-60.0
10173,72800,-60.8929
10202,73000,-61.1379
10230,73200,-60.0
10259,73400,-67.6897
10288,73600,-60.8966
10316,73800,-61.3214
10345,74000,-61.2759
10373,74200,-74.3571
10402,74400,-72.4828
10430,74600,-68.1429
10459,74800,-70.6552
