episode,timestep,reward
30,200,-178.8067
59,400,-197.1586
89,600,-166.4
121,800,-175.0
151,1000,-201.5867
183,1200,-219.6375
214,1400,-199.7355
245,1600,-177.4774
275,1800,-192.6
305,2000,-132.4333
333,2200,-151.9214
362,2400,-150.6
392,2600,-168.1733
422,2800,-165.3
452,3000,-154.02
480,3200,-185.0143
510,3400,-128.6
540,3600,-146.2067
567,3800,-139.563
597,4000,-154.6933
625,4200,-122.4571
655,4400,-152.2933
683,4600,-137.5
712,4800,-172.5793
742,5000,-142.4
771,5200,-122.1172
799,5400,-134.2286
827,5600,-140.25
856,5800,-119.9724
886,6000,-139.94
914,6200,-135.2214
944,6400,-190.0067
972,6600,-144.2786
1002,6800,-143.3
1031,7000,-169.2138
1059,7200,-121.4357
1088,7400,-118.7034
1118,7600,-119.26
1147,7800,-134.8483
1178,8000,-115.0387
1208,8200,-116.4933
1238,8400,-164.7133
1268,8600,-126.3467
1297,8800,-133.0897
1328,9000,-141.8968
1358,9200,-138.46
1391,9400,-154.0242
1421,9600,-123.72
1451,9800,-124.8467
1481,10000,-126.0067
1512,10200,-116.1226
1543,10400,-122.3613
1573,10600,-112.4133
1603,10800,-135.5933
1633,11000,-125.54
1664,11200,-135.4323
1694,11400,-125.18
1725,11600,-115.1484
1756,11800,-111.9032
1788,12000,-144.6
1820,12200,-108.1
1850,12400,-116.1733
1881,12600,-121.6452
1911,12800,-135.2467
1943,13000,-107.4125
1972,13200,-129.8069
2002,13400,-127.6467
2033,13600,-124.1226
2064,13800,-124.9742
2096,14000,-142.7063
2127,14200,-109.4258
2158,14400,-122.1742
2188,14600,-123.9467
2219,14800,-121.2387
2249,15000,-109.0333
2280,15200,-110.1161
2312,15400,-107.3188
2342,15600,-110.84
2374,15800,-111.3062
2406,16000,-108.4937
2437,16200,-118.6323
2468,16400,-108.2774
2500,16600,-110.05
2531,16800,-144.3097
2562,17000,-133.8903
2594,17200,-108.4625
2625,17400,-141.6968
2657,17600,-129.6125
2688,17800,-121.4194
2721,18000,-104.3515
2754,18200,-106.097
2786,18400,-145.025
2818,18600,-106.0375
2849,18800,-108.1613
2882,19000,-106.2364
2914,19200,-110.4313
2947,19400,-126.7697
2979,19600,-117.8813
3011,19800,-107.1188
3043,20000,-106.7187
3075,20200,-106.875
3107,20400,-116.7625
3140,20600,-107.6667
3172,20800,-105.9937
3205,21000,-104.4485
3238,21200,-115.6182
3271,21400,-104.4242
3303,21600,-102.4688
3333,21800,-108.76
3365,22000,-106.55
3397,22200,-101.9938
3430,22400,-101.7091
3462,22600,-104.6188
3493,22800,-101.7097
3526,23000,-101.5455
3559,23200,-100.1939
3591,23400,-102.0187
3623,23600,-111.8562
3656,23800,-102.4424
3687,24000,-116.2194
3719,24200,-115.375
3753,24400,-97.5059
3784,24600,-105.4387
3816,24800,-103.85
3848,25000,-113.9313
3879,25200,-102.4
3912,25400,-100.2242
3945,25600,-111.1576
3977,25800,-100.9625
4009,26000,-114.8562
4041,26200,-113.0313
4072,26400,-118.2581
4105,26600,-100.9394
4137,26800,-104.6875
4170,27000,-100.097
4203,27200,-99.5515
4236,27400,-97.1818
4268,27600,-99.0813
4302,27800,-99.3706
4334,28000,-99.9688
4367,28200,-110.9758
4400,28400,-108.7758
4433,28600,-99.2788
4465,28800,-100.2375
4497,29000,-122.5312
4529,29200,-102.6812
4561,29400,-117.6812
4594,29600,-123.9758
4627,29800,-100.303
4658,30000,-130.6323
4691,30200,-151.297
4724,30400,-103.5879
4756,30600,-104.1937
4788,30800,-125.3187
4821,31000,-110.0364
4854,31200,-101.1576
4887,31400,-114.9394
4919,31600,-115.0187
4951,31800,-114.4688
4983,32000,-114.3125
5017,32200,-99.5647
5049,32400,-101.9375
5080,32600,-103.8194
5112,32800,-113.3312
5145,33000,-100.9697
5178,33200,-110.097
5212,33400,-98.9824
5244,33600,-102.4437
5277,33800,-98.9939
5310,34000,-100.9212
5343,34200,-97.7758
5375,34400,-111.0062
5409,34600,-108.0353
5441,34800,-99.25
5474,35000,-111.9515
5507,35200,-123.9758
5540,35400,-97.6182
5573,35600,-109.8303
5606,35800,-100.6182
5638,36000,-103.7375
5671,36200,-99.1515
5704,36400,-100.8848
5736,36600,-97.2625
5769,36800,-97.9515
5802,37000,-110.5515
5835,37200,-98.6606
5867,37400,-103.4187
5898,37600,-117.5677
5930,37800,-113.2937
5962,38000,-114.8125
5995,38200,-110.7091
6028,38400,-113.4667
6060,38600,-101.7063
6093,38800,-113.2848
6126,39000,-99.4788
6159,39200,-99.2303
6191,39400,-100.5125
6224,39600,-101.7394
6256,39800,-100.6
6289,40000,-98.8061
6322,40200,-96.0364
6355,40400,-119.7212
6388,40600,-100.2182
6421,40800,-96.0545
6454,41000,-96.6727
6488,41200,-96.7412
6520,41400,-100.4937
6553,41600,-96.6606
6586,41800,-108.7939
6619,42000,-96.9758
6652,42200,-96.8545
6685,42400,-95.9636
6718,42600,-96.2848
6750,42800,-101.075
6783,43000,-107.6606
6816,43200,-97.4182
6849,43400,-106.8848
6882,43600,-95.6364
6915,43800,-100.7455
6947,44000,-98.2687
6981,44200,-107.5765
7013,44400,-96.9375
7045,44600,-150.0937
7076,44800,-139.9677
7107,45000,-139.6387
7138,45200,-140.9613
7169,45400,-129.2774
7202,45600,-102.5818
7234,45800,-115.0062
7266,46000,-111.5875
7298,46200,-149.6062
7330,46400,-100.8687
7362,46600,-113.8687
7393,46800,-103.2258
7426,47000,-100.0667
7456,47200,-100.7333
7489,47400,-99.097
7522,47600,-96.5758
7555,47800,-97.297
7588,48000,-118.6485
7621,48200,-96.7879
7654,48400,-108.8848
7686,48600,-111.125
7719,48800,-99.303
7751,49000,-101.525
7784,49200,-107.7273
7816,49400,-111.6688
7849,49600,-96.4727
7882,49800,-120.5273
7913,50000,-102.1032
7947,50200,-96.8176
7979,50400,-99.7375
8012,50600,-97.4
8045,50800,-98.1879
8077,51000,-98.6375
8110,51200,-106.3333
8143,51400,-97.8424
8175,51600,-100.975
8208,51800,-108.5758
8241,52000,-95.7939
8273,52200,-98.6062
8306,52400,-98.5515
8339,52600,-108.1636
8371,52800,-108.925
8404,53000,-96.2303
8436,53200,-125.9375
8468,53400,-124.2375
8501,53600,-132.3636
8535,53800,-97.8647
8568,54000,-99.4667
8600,54200,-99.75
8634,54400,-107.9294
8666,54600,-107.7562
8699,54800,-97.6485
8732,55000,-99.2424
8765,55200,-132.2242
8798,55400,-96.2485
8830,55600,-99.1937
8863,55800,-100.0485
8896,56000,-99.1273
8928,56200,-100.375
8960,56400,-96.55
8994,56600,-107.6
9026,56800,-100.2687
9059,57000,-98.8303
9090,57200,-103.2387
9122,57400,-110.475
9154,57600,-111.7188
9188,57800,-96.4824
9220,58000,-97.4563
9253,58200,-99.6788
9286,58400,-96.6909
9318,58600,-99.3438
9351,58800,-100.1758
9383,59000,-97.2813
9416,59200,-96.9333
9447,59400,-114.3871
9480,59600,-99.0485
9513,59800,-146.6061
9545,60000,-112.85
9578,60200,-100.1455
9611,60400,-99.497
9643,60600,-99.4687
9674,60800,-102.8581
9707,61000,-113.5515
9739,61200,-100.475
9772,61400,-107.1091
9805,61600,-97.0485
9837,61800,-102.525
9869,62000,-99.0
9902,62200,-119.6182
9936,62400,-106.4471
9968,62600,-120.5062
10000,62800,-98.9375
10032,63000,-97.675
10065,63200,-99.6424
10098,63400,-94.4606
10129,63600,-101.4065
10162,63800,-107.897
10195,64000,-97.3818
10227,64200,-112.9312
10259,64400,-102.9062
10290,64600,-113.3613
10322,64800,-110.05
10354,65000,-121.8
10386,65200,-137.1062
10418,65400,-95.2875
10450,65600,-126.8937
10482,65800,-101.6625
10513,66000,-106.529
10546,66200,-109.697
10578,66400,-108.9375
10611,66600,-122.7152
10644,66800,-98.6364
10675,67000,-142.1097
10707,67200,-129.3438
10739,67400,-113.3125
10770,67600,-113.1226
10803,67800,-98.3455
10834,68000,-101.9161
10865,68200,-114.1742
10898,68400,-99.4061
10930,68600,-97.825
10962,68800,-101.0813
10993,69000,-102.4065
11026,69200,-108.1879
11058,69400,-97.125
11090,69600,-96.85
11122,69800,-98.85
11154,70000,-109.0
11187,70200,-94.7515
11219,70400,-94.5125
11252,70600,-108.4606
11285,70800,-96.0545
11318,71000,-95.0424
11351,71200,-104.4848
11385,71400,-94.8529
11417,71600,-148.0125
11449,71800,-124.3687
11483,72000,-120.8941
11516,72200,-99.6545
11548,72400,-109.625
11582,72600,-95.6882
11615,72800,-99.8424
11647,73000,-111.0938
11680,73200,-109.6424
11713,73400,-96.5394
11746,73600,-97.4727
11778,73800,-98.6437
11811,74000,-97.5394
11845,74200,-93.7471
11878,74400,-93.0303
11911,74600,-96.2424
11944,74800,-95.6424
11977,75000,-94.4061
12010,75200,-117.2364
12043,75400,-94.5212
12076,75600,-101.8667
12108,75800,-113.4937
12141,76000,-101.3273
12173,76200,-113.6125
12205,76400,-112.2938
12238,76600,-97.3152
12270,76800,-99.9563
12303,77000,-107.4182
12336,77200,-95.8121
12369,77400,-122.3818
12401,77600,-107.7813
12433,77800,-98.6062
12465,78000,-96.5187
12497,78200,-95.0312
12529,78400,-98.2125
12560,78600,-94.0903
12591,78800,-95.9806
12623,79000,-94.7562
12654,79200,-94.8968
12687,79400,-93.8606
12718,79600,-95.1355
12750,79800,-95.8813
12783,80000,-93.0788
12816,80200,-94.8727
12849,80400,-93.9273
12880,80600,-115.5677
12912,80800,-113.0563
12943,81000,-100.7677
12976,81200,-108.8424
13009,81400,-95.0121
13039,81600,-115.48
13071,81800,-100.1063
13103,82000,-103.4063
13135,82200,-101.1312
13166,82400,-101.271
13198,82600,-109.9938
13231,82800,-108.3515
13263,83000,-97.9812
13294,83200,-115.5097
13326,83400,-102.3875
13359,83600,-98.4606
13391,83800,-99.7437
13423,84000,-99.825
13455,84200,-100.275
13488,84400,-100.8848
13519,84600,-100.929
13551,84800,-100.075
13584,85000,-95.8485
13617,85200,-98.2061
13648,85400,-116.5419
13681,85600,-111.9091
13714,85800,-107.903
13746,86000,-96.6813
13777,86200,-118.8968
13808,86400,-116.0839
13840,86600,-103.7312
13871,86800,-133.1742
13903,87000,-99.5188
13933,87200,-111.0867
13963,87400,-106.8467
13994,87600,-104.2258
14027,87800,-100.5273
14058,88000,-102.1161
14090,88200,-111.775
14123,88400,-98.9818
14155,88600,-113.8562
14187,88800,-97.2875
14219,89000,-99.0938
14251,89200,-102.15
14284,89400,-97.1758
14316,89600,-98.6062
14348,89800,-101.3
14381,90000,-99.0
14413,90200,-101.1437
14444,90400,-100.9806
14476,90600,-99.5313
14509,90800,-95.9879
14541,91000,-96.225
14573,91200,-97.35
14606,91400,-96.7758
14639,91600,-109.897
14672,91800,-94.8788
14703,92000,-112.4839
14736,92200,-96.8909
14769,92400,-98.5879
14802,92600,-94.7091
14834,92800,-96.5313
14867,93000,-97.0848
14900,93200,-94.7455
14932,93400,-111.35
14964,93600,-98.8563
14997,93800,-101.1697
15029,94000,-98.75
15062,94200,-97.2909
15095,94400,-98.3697
15127,94600,-99.8312
15161,94800,-106.0765
15193,95000,-96.8062
15226,95200,-110.5212
15259,95400,-95.3818
15292,95600,-110.7818
15325,95800,-142.2242
15358,96000,-110.2364
15391,96200,-117.697
15424,96400,-108.7394
15457,96600,-98.303
15490,96800,-97.1758
15523,97000,-97.4242
15556,97200,-108.1515
15589,97400,-121.7818
15622,97600,-95.897
15655,97800,-118.9455
15688,98000,-99.1879
15720,98200,-124.1313
15753,98400,-97.5333
15785,98600,-126.55
15817,98800,-125.775
15850,99000,-102.6
15882,99200,-114.7688
15915,99400,-99.2182
15947,99600,-99.9312
15980,99800,-100.9333
16012,100000,-126.8813
