episode,timestep,reward
33,200,-263.5697
67,400,-283.8647
103,600,-285.5278
135,800,-254.6063
166,1000,-224.671
198,1200,-205.4875
229,1400,-176.471
258,1600,-200.7586
288,1800,-177.7133
320,2000,-209.0125
350,2200,-174.0733
379,2400,-142.0345
409,2600,-153.2733
439,2800,-149.1533
468,3000,-165.6621
496,3200,-153.9714
526,3400,-196.5133
554,3600,-149.7857
582,3800,-131.25
611,4000,-162.731
641,4200,-146.7533
669,4400,-153.3714
697,4600,-148.9143
725,4800,-181.8714
754,5000,-162.131
783,5200,-142.7655
810,5400,-140.4667
840,5600,-145.5067
867,5800,-138.0148
896,6000,-141.4207
925,6200,-132.6552
954,6400,-123.0138
984,6600,-146.2533
1013,6800,-134.5241
1044,7000,-144.6581
1073,7200,-123.9724
