episode,timestep,reward
36,200,-307.3444
68,400,-240.2
101,600,-257.0727
133,800,-222.5437
166,1000,-245.2909
198,1200,-228.7
229,1400,-213.7742
259,1600,-200.52
288,1800,-161.3931
319,2000,-143.5419
349,2200,-185.5467
377,2400,-164.2929
407,2600,-142.2667
436,2800,-174.2552
465,3000,-170.7172
496,3200,-171.9419
525,3400,-146.0207
555,3600,-151.4467
584,3800,-180.5931
612,4000,-173.5143
639,4200,-173.0074
669,4400,-140.5133
697,4600,-140.6857
725,4800,-166.0214
753,5000,-154.6643
782,5200,-149.6759
