episode,timestep,reward
34,200,-103.1765
70,400,-93.0833
106,600,-84.6944
142,800,-78.3056
177,1000,-75.3143
210,1200,-76.2121
246,1400,-91.1944
282,1600,-66.8056
317,1800,-71.5429
354,2000,-56.9459
390,2200,-56.1944
426,2400,-53.8333
464,2600,-52.1579
502,2800,-45.5526
541,3000,-45.3333
580,3200,-42.4359
619,3400,-40.7179
659,3600,-38.475
698,3800,-42.641
738,4000,-37.35
778,4200,-37.325
817,4400,-38.8205
857,4600,-37.85
898,4800,-36.3415
937,5000,-41.1282
977,5200,-35.725
1017,5400,-37.3
1057,5600,-37.45
1096,5800,-36.7436
1136,6000,-40.6
1174,6200,-35.6842
1210,6400,-41.4167
1249,6600,-39.1538
1286,6800,-36.7568
1325,7000,-39.4872
1363,7200,-38.1842
1402,7400,-34.8462
1438,7600,-35.6667
1476,7800,-35.5789
1515,8000,-34.6923
1554,8200,-34.8718
1591,8400,-35.027
1628,8600,-41.7027
1665,8800,-34.4054
1702,9000,-34.3514
1739,9200,-35.4595
1775,9400,-36.2778
1811,9600,-35.4444
1848,9800,-35.5676
1881,10000,-41.0606
1916,10200,-46.2286
1954,10400,-35.3947
1988,10600,-35.4118
2023,10800,-39.6
2061,11000,-34.4211
2097,11200,-40.4444
2132,11400,-40.9143
2170,11600,-36.5
2208,11800,-34.6316
2246,12000,-34.9474
2285,12200,-34.4103
2324,12400,-34.6667
2363,12600,-35.6667
2400,12800,-36.2432
2440,13000,-34.425
2479,13200,-35.2821
2519,13400,-38.75
2559,13600,-33.725
2599,13800,-35.05
2640,14000,-35.6341
2681,14200,-34.1951
2724,14400,-33.9767
2767,14600,-34.3256
2809,14800,-34.2143
2851,15000,-33.7619
2893,15200,-38.0714
2934,15400,-34.2927
2977,15600,-33.8837
3017,15800,-34.45
3059,16000,-38.2143
3103,16200,-33.75
3146,16400,-34.3256
3186,16600,-35.5
3229,16800,-35.5814
3270,17000,-34.4878
3310,17200,-34.525
3349,17400,-39.8718
3393,17600,-34.5227
3436,17800,-34.6744
3480,18000,-34.4318
3523,18200,-33.9535
3569,18400,-33.5435
3615,18600,-33.6739
3658,18800,-33.7674
3702,19000,-33.4545
3744,19200,-35.0476
3788,19400,-35.1818
3831,19600,-33.7442
3876,19800,-33.4889
3918,20000,-33.8095
3963,20200,-34.5333
4009,20400,-33.8478
4057,20600,-33.1458
4102,20800,-33.8222
4149,21000,-33.1277
4196,21200,-33.8723
4242,21400,-33.4783
4288,21600,-33.9565
4335,21800,-33.4681
4382,22000,-33.234
4430,22200,-33.2292
4475,22400,-33.0889
4523,22600,-32.9583
4572,22800,-36.7143
4618,23000,-33.6739
4664,23200,-41.9348
4710,23400,-37.587
4758,23600,-33.1042
4804,23800,-33.2609
4852,24000,-33.8958
4900,24200,-33.3333
4948,24400,-33.5625
4995,24600,-33.1489
5044,24800,-32.9184
5090,25000,-33.6957
5138,25200,-33.0833
5187,25400,-33.0204
5235,25600,-33.4375
5284,25800,-32.8571
5333,26000,-32.7755
5382,26200,-32.7551
5432,26400,-32.64
5481,26600,-32.3878
5529,26800,-32.8542
5576,27000,-37.0213
5621,27200,-38.2889
5667,27400,-42.2391
5714,27600,-32.766
5762,27800,-32.875
5810,28000,-32.2917
5860,28200,-32.76
5909,28400,-33.1429
5959,28600,-32.68
6008,28800,-32.6327
6058,29000,-32.08
6108,29200,-32.42
6158,29400,-32.1
6207,29600,-32.2041
6257,29800,-32.24
6307,30000,-32.38
6357,30200,-35.8
6403,30400,-32.913
6450,30600,-33.4255
6499,30800,-32.551
6549,31000,-32.5
6598,31200,-32.6939
6647,31400,-32.6531
6695,31600,-32.875
6745,31800,-32.02
6795,32000,-32.08
6845,32200,-32.5
6894,32400,-32.6327
6944,32600,-32.2
6993,32800,-32.2245
7043,33000,-32.24
7092,33200,-32.8163
7139,33400,-33.5745
7184,33600,-34.1333
7232,33800,-36.4583
7276,34000,-46.8409
7322,34200,-37.8696
7370,34400,-32.4583
7418,34600,-33.5
7468,34800,-32.76
7518,35000,-32.24
7567,35200,-32.9796
7617,35400,-32.38
7666,35600,-32.6735
7716,35800,-32.02
7766,36000,-32.4
7815,36200,-32.2245
7861,36400,-100.0435
7909,36600,-59.4167
7957,36800,-47.7917
8005,37000,-37.5833
8054,37200,-37.0204
8102,37400,-33.3958
8151,37600,-33.2857
8201,37800,-32.22
8250,38000,-33.2245
8300,38200,-32.4
8349,38400,-32.4898
8399,38600,-32.42
8449,38800,-32.12
8498,39000,-32.3061
8548,39200,-32.18
8598,39400,-32.14
8648,39600,-32.12
8697,39800,-32.3469
8747,40000,-32.16
8795,40200,-36.5417
8841,40400,-37.3913
8886,40600,-33.0889
8934,40800,-32.6458
8983,41000,-32.8163
9033,41200,-32.7
9082,41400,-32.5918
9131,41600,-32.6531
9181,41800,-32.04
9230,42000,-32.6939
9279,42200,-32.2041
9329,42400,-32.48
9379,42600,-32.54
9429,42800,-32.56
9473,43000,-34.3182
9516,43200,-42.5349
9560,43400,-32.9773
9607,43600,-32.8085
9654,43800,-32.5106
